,title,company,sal_min_yearly,sal_max_yearly,city_name,state_name
682,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
685,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
688,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
691,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
694,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
697,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
700,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
703,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
706,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
709,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
712,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
715,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
718,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
721,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
724,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
727,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
730,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
733,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
736,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
739,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
742,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
745,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
748,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
751,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
754,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
757,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
760,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
763,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
766,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
769,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
772,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
775,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
778,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
781,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
784,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
787,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
790,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
793,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
796,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
799,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
802,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
805,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
808,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
811,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
814,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
817,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
820,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
823,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
826,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
829,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
832,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
835,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
838,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
841,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
844,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
847,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
850,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
853,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
856,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
859,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
862,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
865,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
868,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
871,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
874,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
877,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
880,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
883,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
886,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
889,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
892,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
895,data_analyst,institute of neuro innovation,52000,100000,santa monica,ca
